vid,Year,value.S1,value.S10,value.S100,value.S101,value.S102,value.S103,value.S11,value.S12,value.S13,value.S14,value.S15,value.S16,value.S17,value.S18,value.S19,value.S2,value.S20,value.S21,value.S22,value.S23,value.S24,value.S25,value.S26,value.S27,value.S28,value.S29,value.S3,value.S30,value.S31,value.S32,value.S33,value.S34,value.S35,value.S36,value.S37,value.S38,value.S39,value.S4,value.S40,value.S41,value.S42,value.S43,value.S44,value.S45,value.S46,value.S47,value.S48,value.S49,value.S5,value.S50,value.S51,value.S52,value.S53,value.S54,value.S55,value.S56,value.S57,value.S58,value.S59,value.S6,value.S60,value.S61,value.S62,value.S63,value.S64,value.S65,value.S66,value.S67,value.S68,value.S69,value.S7,value.S70,value.S71,value.S72,value.S73,value.S74,value.S75,value.S76,value.S77,value.S78,value.S79,value.S8,value.S80,value.S81,value.S82,value.S83,value.S84,value.S85,value.S86,value.S87,value.S88,value.S89,value.S9,value.S90,value.S91,value.S92,value.S93,value.S94,value.S95,value.S96,value.S97,value.S98,value.S99
5,2012,0,0,2322.91,0,0,0,0,0,0,0,0,1134.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.11,1207.8,285,0,0,0,196.02,86.8,32.89,0,0,0,0,0,200.22,123.2,155.03,0,0,0,0,0,0,0,0,0,0,0,0,0,182.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,352.08,0,0
5,2013,0,1657.994218,320884.5132,25192.8219,0,0,0,0,0,0,0,53705.57272,3864.04476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13465.61441,146226.9236,124154.0055,0,0,0,29833.836,34356.15791,12598.89828,0,0,0,0,0,109386.2966,2243.362005,52967.13617,0,0,0,0,0,0,0,0,0,0,0,0,11652.13492,77087.03404,0,0,0,0,0,0,0,8631.545741,0,0,0,0,0,44453.24882,0,0,0,0,0,0,0,0,19966.08343,0,0,0,0,0,38871.98389,0,0,21132.38978,0,0
5,2014,0,2698.683279,370257.1691,7930.3,0,0,0,0,0,0,0,54372.75213,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828.315661,173834.4755,149627.3755,0,0,0,13858.2107,20749.02417,6463.86,0,0,0,0,0,57344.01679,1756.362365,57429.92563,0,0,0,0,0,0,0,0,0,0,0,0,6427.210992,21159.97,0,0,0,0,0,0,0,4279,0,0,0,0,0,7780.164159,0,0,0,0,0,0,0,0,9436.768587,0,0,0,0,0,9407.412451,0,0,9042,0,0
5,2015,0,3041.142362,322294.7452,3181.108128,0,0,0,0,0,0,0,30138.77367,4541.348925,44.7761194,0,0,0,0,0,0,0,0,3647.358025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121.458431,275615.1615,165977.1498,0,0,0,14731.48939,8271.731397,2376.600073,0,0,0,0,0,46735.77934,1835.044784,68259.42067,0,0,0,0,0,4,0,0,0,0,0,0,5600.982165,2527.877338,0,0,0,0,0,0,0,11425.33929,0,0,0,0,0,833.1714587,0,0,0,0,0,0,0,0,7389.762221,0,0,0,0,0,3794.221679,0,0,6883.929849,0,0
6,2006,0,0,0,1811.2556,0,0,0,0,0,0,0,5483.2888,927.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.9408,0,0,0,0,0,0,0,0,0,0,0,3768.648,1905.7,8093.54,0,0,0,198962.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007,0,707.875,6440.614,3883.813,0,0,0,0,0,0,0,22399.568,10500.409,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.55,2756.69,4922.69,0,0,0,206.5,1025.276,1216.98,0,0,0,0,0,4787.61,1655.25,23108.008,0,0,0,491682.7,0,0,0,0,0,0,0,0,1934.0475,3452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,488,0,0,0,0,0,0,5346.6,0,0,0,0,0,0,0,0,2077.525,0,0
6,2008,0,1494.85,372.4,3088.05,0,0,0,0,0,0,0,7169.2,12705.35,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.5,3434.2,3615.85,0,0,0,371.7,102.9,785.31,0,0,0,0,0,2869.3,160.08,39506.87,0,0,0,395346.87,0,0,0,0,0,0,0,0,969.5,1365.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2649.4,0,0,0,0,0,0,0,0,2238.95,0,0
6,2009,0,694.4,2612.85,4024.9,0,0,0,0,0,0,0,12056.8,9867.7,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.8,6960.8,3267.35,0,0,0,2154.95,1618.75,1630.65,0,0,0,0,0,4092.9,1228.5,26728.09,0,0,0,355562.69,0,0,0,0,0,0,0,0,181.3,1181.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2705.5,0,0,0,0,383.6,1034,0,0,2515.1,0,0
6,2010,0,2232.416,750.96,2178.6,0,0,0,0,0,0,0,12177.7,12793.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3683.734,4092.396,0,0,0,1170.75,590.59,1274.175,0,0,0,0,0,3605.225,3430.897,23358.044,0,0,0,288682.4,0,0,0,0,0,0,0,0,403.9,552.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076.5,0,0,0,0,0,188.8,0,0,4609.17,0,0
6,2011,0,985.74,815.96,2366.83,0,0,0,0,0,0,0,9894.03,6609.41,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616.6,883.9,0,0,0,584.26,97.6,738.93,0,0,0,0,0,2040.36,640.75,31368.81,0,0,0,404919.25,0,0,0,0,0,0,0,0,1842.55,263.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.5,0,0,0,0,0,1329.84,0,0,2839.54,0,0
