Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
680,699,2012,DRB,24-40,138.2,32.9,4.9,3.5,27,3,"11,271","3,878",31.4,,,"€199,226",,"€199,226",,"€18,018","€32,911",,,,,€0,"€50,929","€14,814","€15,495","€4,000",,"€13,258","€47,567","€98,496","€100,730","€59,306",,"€41,424"
681,38,2012,DTS,18-24,101.0,22.7,4.6,3.1,64,63,"24,668","8,565",21.4,5.0,5.0,"€946,104",,"€946,104","€269,937","€324,196","€60,542",,,,"€12,721",€0,"€667,396","€11,850","€22,164","€9,052",,€0,"€43,066","€710,462","€235,642","€44,895",,"€190,747"
682,474,2012,DFN,00-10,0.6,6.1,-0.5,1.8,394,173,"7,618",908,6.7,1.0,1.0,,"€1,000","€1,000",,€500,€500,€30,€0,€0,,€600,"€1,630",€0,€0,€0,€0,€0,€0,"€1,630",-€630,,,-€630
683,239,2012,FPO,00-10,6.4,9.9,1.9,2.3,733,573,"16,141","1,446",6.5,2.0,1.5,"€18,273","€1,675","€19,948","€4,674","€1,200","€7,000",,,€150,€200,"€1,350","€14,574",,,€400,,€300,€700,"€15,274","€4,674",,,"€4,674"
685,36,2012,DTS,18-24,81.8,19.2,4.4,3.0,64,63,"24,668","8,565",21.4,3.0,3.0,"€184,102",,"€184,102","€36,310","€58,282","€18,299","€1,820","€2,813","€2,000","€2,000","€6,489","€128,013","€4,149","€6,053","€1,800",,€0,"€12,002","€140,015","€44,087","€15,494",,"€28,593"
686,336,2012,DRB,10-12,11.8,11.4,2.5,2.4,65,20,"4,984",611,10.9,2.0,1.5,"€126,163","€1,000","€127,163","€63,581","€14,000","€2,369",,"€2,007",,,"€1,998","€83,955","€3,263",,,,"€1,394","€4,657","€88,612","€38,550",,,"€38,550"
687,240,2012,FPO,12-18,11.9,14.3,2.5,2.7,19,18,"2,070",319,13.0,3.0,2.0,"€74,087","€1,132","€75,219","€55,102","€12,000","€2,500",,,,,"€1,600","€71,202","€2,500","€8,000",€700,,"€2,000","€13,200","€84,402","-€9,184",,,"-€9,184"
688,146,2012,FPO,00-10,8.5,10.6,2.1,2.4,733,573,"16,141","1,446",6.5,2.0,1.5,"€114,961","€1,416","€116,377","€23,920","€16,352","€4,820",,"€2,436",€500,€400,"€7,670","€56,098","€2,750","€8,400","€1,000",,"€1,696","€13,846","€69,944","€46,433",,,"€46,433"
689,305,2012,FPO,10-12,11.1,10.3,2.4,2.3,107,83,"8,813","1,090",11.1,1.0,1.0,"€36,267","€1,068","€37,335","€12,910","€5,470",€550,,€845,,€150,"€2,000","€21,925","€1,500",,"€1,000",,€0,"€2,500","€24,425","€12,910",,,"€12,910"
690,581,2012,DFN,00-10,2.6,8.1,1.0,2.1,394,173,"7,618",908,6.7,,,,"€1,000","€1,000","€2,302",€400,€494,€50,€0,€0,,€2,"€3,248",€0,€0,€0,€0,€0,€0,"€3,248","-€2,248",,,"-€2,248"
691,379,2012,FPO,10-12,10.9,12.0,2.4,2.5,107,83,"8,813","1,090",11.1,2.0,2.0,"€20,050","€16,200","€36,250",,"€5,746","€4,329",,"€2,717",,,€458,"€13,250","€3,283",,€598,,€0,"€3,881","€17,131","€19,119",,,"€19,119"
692,196,2012,TM,40-70,"1,469.0",62.7,7.3,4.1,21,21,"42,511","22,091",52.1,13.0,13.0,"€6,496,242","€175,764","€6,672,006","€1,413,032","€801,573","€814,186",,"€34,900",,"€63,166","-€65,916","€3,060,941","€117,583","€6,834","€19,000",,"€133,227","€276,644","€3,337,585","€3,334,421","€518,609",,"€2,815,812"
693,241,2012,FPO,00-10,3.8,8.9,1.3,2.2,733,573,"16,141","1,446",6.5,2.0,1.5,,€0,€0,,"€3,800","€3,500",€200,€280,€0,,"€2,580","€10,360",€0,€0,"€1,200",€0,€450,"€1,650","€12,010","-€12,010",,,"-€12,010"
695,242,2012,FPO,00-10,2.8,7.3,1.0,2.0,733,573,"16,141","1,446",6.5,2.0,1.5,"€59,037","€1,270","€60,307","€22,795","€2,301","€5,630",,,,€0,"€1,550","€32,276",€840,,€825,,"€3,570","€5,235","€37,511","€22,795",,,"€22,795"
696,634,2012,FPO,10-12,19.2,12.2,3.0,2.5,107,83,"8,813","1,090",11.1,2.0,1.5,"€39,631","€1,400","€41,031","€20,214","€5,000","€1,000",,,,,"€3,800","€30,014",,"€4,800",€880,,€0,"€5,680","€35,694","€5,337",,,"€5,337"
697,244,2012,FPO,10-12,11.0,12.0,2.4,2.5,107,83,"8,813","1,090",11.1,2.0,1.5,"€40,670","€1,000","€41,670","€16,459","€2,291",€300,,€551,,,€440,"€20,041","€4,100",,"€1,000",,€70,"€5,170","€25,211","€16,459",,,"€16,459"
698,130,2012,FPO,00-10,1.1,6.2,0.1,1.8,733,573,"16,141","1,446",6.5,1.0,1.0,"€23,766","€1,000","€24,766",€0,"€2,845","€1,000",,€500,€100,,"€1,480","€5,925",€957,,€600,,€350,"€1,907","€7,832","€16,935",,,"€16,935"
699,245,2012,DTS,24-40,162.4,22.0,5.1,3.1,37,37,"18,887","8,309",26.3,,,"€569,747","€13,149","€582,896","€157,714",,,€0,,,,€0,"€157,714",,,,,€0,€0,"€157,714","€425,182","€8,076",€0,"€417,106"
700,181,2012,FPO,00-10,2.7,7.2,1.0,2.0,733,573,"16,141","1,446",6.5,3.0,2.0,"€90,237","€1,000","€91,237","€43,113","€6,694","€1,150",,€200,,,€768,"€51,925","€2,200","€5,670","€1,150",,"€1,550","€10,570","€62,495","€28,742",,,"€28,742"
701,343,2012,DTS,24-40,171.0,25.1,5.1,3.2,37,37,"18,887","8,309",26.3,8.0,8.0,"€1,758,301",,"€1,758,301","€632,266","€478,739","€174,397",,"€47,491",,,"€24,053","€1,356,946","€82,570","€55,625","€5,000",,"€56,817","€200,012","€1,556,958","€201,343","€66,026",,"€135,317"
702,102,2012,FPO,10-12,8.6,11.0,2.1,2.4,107,83,"8,813","1,090",11.1,,,"€36,556","€1,310","€37,866","€37,866","€6,000","€1,500",,"€1,600",,,"€1,200","€48,166",,,,,€675,€675,"€48,841","-€10,975",,,"-€10,975"
703,118,2012,FPO,10-12,8.4,11.8,2.1,2.5,107,83,"8,813","1,090",11.1,3.0,2.0,"€130,000",,"€130,000","€65,000","€14,880","€5,000","€1,300",,,"€1,050","€3,766","€90,996","€2,400",,,,€0,"€2,400","€93,396","€36,604","€10,000","€3,500","€30,104"
704,640,2012,FPO,00-10,1.0,5.9,0.0,1.8,733,573,"16,141","1,446",6.5,2.0,1.5,,,€0,,"€2,625",€200,€400,€0,€0,,€850,"€4,075",€0,€0,€270,€0,€0,€270,"€4,345","-€4,345",,,"-€4,345"
705,355,2012,FPO,10-12,16.1,12.3,2.8,2.5,107,83,"8,813","1,090",11.1,2.0,1.5,"€67,610","€1,000","€68,610","€16,506","€12,095","€3,200",,"€1,500",,,"€5,480","€38,782","€4,800","€12,900",€550,€600,"€2,700","€21,550","€60,332","€8,278",,,"€8,278"
706,246,2012,DTS,12-18,43.1,14.8,3.8,2.7,48,47,"7,752","2,070",14.6,1.0,1.0,"€100,807",,"€100,807","€12,725","€22,934","€16,204",,"€7,369",,"€1,668","€4,022","€64,922","€12,510",,"€1,495",,"€3,453","€17,458","€82,380","€18,427",,,"€18,427"
707,575,2012,DFN,00-10,2.4,7.4,0.9,2.0,394,173,"7,618",908,6.7,2.0,1.5,,€0,€0,€0,"€1,500",€650,€200,€0,€120,,€180,"€2,650",€0,€0,€400,€0,€450,€850,"€3,500","-€3,500",,,"-€3,500"
708,248,2012,DRB,10-12,15.4,11.6,2.7,2.5,65,20,"4,984",611,10.9,1.0,0.5,"€57,851",€94,"€57,945","€1,658","€5,994","€5,844",€58,,,€166,"€16,359","€30,079",€911,"€2,547","€1,127",,€99,"€4,684","€34,763","€23,182","€23,144",,€38
709,199,2012,TM,40-70,696.2,41.0,6.5,3.7,21,21,"42,511","22,091",52.1,9.0,4.5,"€3,950,620",,"€3,950,620","€805,323","€357,258","€360,542",,"€13,397",,"€101,829","€211,753","€1,850,102","€62,333","€211,936","€13,205",€690,"€125,367","€413,531","€2,263,633","€1,686,987","€534,117",,"€1,152,870"
710,126,2012,FPO,10-12,11.5,10.4,2.4,2.3,107,83,"8,813","1,090",11.1,2.0,1.5,"€66,748","€1,380","€68,128","€29,762","€5,750","€2,000",,€700,,,"€12,655","€50,867",,,"€1,230",,€700,"€1,930","€52,797","€15,332",,,"€15,332"
711,73,2012,DFN,10-12,11.3,10.5,2.4,2.3,36,16,"2,358",385,11.0,2.0,1.5,"€87,552","€1,000","€88,552","€33,376","€12,020","€1,000",,"€1,500",,,"€1,600","€49,496",€300,"€3,600",€780,,"€1,000","€5,680","€55,176","€33,376",,,"€33,376"
712,489,2012,FPO,00-10,9.1,8.9,2.2,2.2,733,573,"16,141","1,446",6.5,3.0,2.0,"€362,644","€4,259","€366,903","€180,449","€23,166","€14,322",,€713,,,"€19,074","€237,724","€5,050","€49,028","€1,761",€125,"€13,064","€69,029","€306,753","€60,150",,,"€60,150"
713,249,2012,FPO,10-12,6.2,10.1,1.8,2.3,107,83,"8,813","1,090",11.1,3.0,2.5,,€195,€195,,"€6,000",€500,€450,€300,€0,,"€6,350","€13,600",€0,€0,€500,€0,€800,"€1,300","€14,900","-€14,705",,,"-€14,705"
714,20,2012,DTS,18-24,113.3,19.8,4.7,3.0,64,63,"24,668","8,565",21.4,5.0,4.5,"€609,087",,"€609,087","€129,693","€197,963","€101,443","€6,466","€12,872","€7,000","€1,170","€34,934","€491,541","€27,721","€18,737","€4,194",€768,€0,"€51,420","€542,961","€66,126","€50,658",,"€15,468"
715,80,2012,DRB,00-10,4.6,8.3,1.5,2.1,368,108,"9,588","1,004",7.0,2.0,1.5,,"€1,000","€1,000",,"€2,500",€500,€200,€0,€0,,€0,"€3,200",€0,€0,€0,€0,€0,€0,"€3,200","-€2,200",,,"-€2,200"
716,250,2012,DRB,10-12,9.0,10.0,2.2,2.3,65,20,"4,984",611,10.9,1.0,1.0,,"€1,000","€1,000",,"€6,500","€4,000",€500,€200,€0,,"€1,000","€12,200",€0,€0,€500,€0,"€3,800","€4,300","€16,500","-€15,500",,,"-€15,500"
718,251,2012,DFN,00-10,6.6,9.9,1.9,2.3,394,173,"7,618",908,6.7,2.0,1.5,,€320,€320,€0,"€3,105","€5,503","€3,105","€1,200",€0,,"€4,644","€17,556","€1,500",€0,€800,€0,€472,"€2,772","€20,328","-€20,008",,,"-€20,008"
719,252,2012,FPO,10-12,9.7,11.6,2.3,2.5,107,83,"8,813","1,090",11.1,0.0,0.0,"€11,534","€2,547","€14,081",,€675,€501,€346,€689,,,€0,"€2,211",,,,,€0,€0,"€2,211","€11,870",,,"€11,870"
721,85,2012,DRB,10-12,8.0,10.3,2.1,2.3,65,20,"4,984",611,10.9,,,"€39,164","€1,000","€40,164","€11,839","€8,703","€1,240",,€800,,,"€2,442","€25,024",,,€800,,"€2,500","€3,300","€28,324","€11,839",,,"€11,839"
722,334,2012,DRB,00-10,1.6,5.8,0.5,1.8,368,108,"9,588","1,004",7.0,1.0,1.0,,€0,€0,€0,€50,€0,€10,€0,€0,,€80,€140,€0,€0,€0,€0,€0,€0,€140,-€140,,,-€140
723,253,2012,DTS,24-40,200.0,23.2,5.3,3.1,37,37,"18,887","8,309",26.3,7.0,7.0,"€704,013",€0,"€704,013","€209,344","€132,429","€108,684",,"€10,894","€3,790","€12,082","€9,749","€486,972","€39,849","€7,470","€5,500",,"€2,305","€55,124","€542,096","€161,917","€43,042",,"€118,875"
724,254,2012,DTS,10-12,17.2,11.0,2.8,2.4,25,25,"2,188",334,11.2,1.0,1.0,"€41,485",,"€41,485","€2,000","€7,500","€6,601","€6,164",,,,"€2,751","€25,016","€2,000",,€738,,€480,"€3,218","€28,234","€13,251",,,"€13,251"
725,255,2012,DFN,10-12,8.3,11.2,2.1,2.4,36,16,"2,358",385,11.0,2.0,2.0,"€58,654","€10,348","€69,002","€26,188","€7,210","€3,657",,"€2,920",€466,,€260,"€40,701",,,€500,,€0,€500,"€41,201","€27,801",€435,,"€27,366"
726,364,2012,FPO,10-12,13.9,11.6,2.6,2.5,107,83,"8,813","1,090",11.1,3.0,2.0,"€148,392","€1,050","€149,442","€117,405","€18,000","€1,400",,€120,,€200,"€3,000","€140,125","€5,800",,"€1,400",,"€2,000","€9,200","€149,325",€118,,,€118
727,622,2012,FPO,00-10,0.9,5.1,-0.2,1.6,733,573,"16,141","1,446",6.5,1.0,1.0,,"€1,000","€1,000",,"€2,500",€0,€0,€0,€0,,€750,"€3,250",€0,€0,€0,€0,€0,€0,"€3,250","-€2,250",,,"-€2,250"
728,485,2012,DRB,00-10,1.6,5.8,0.5,1.8,368,108,"9,588","1,004",7.0,1.0,1.0,,€0,€0,,€200,"€1,000",€28,€0,€0,,€0,"€1,228",€0,€0,€300,€0,€0,€300,"€1,528","-€1,528",,,"-€1,528"
729,189,2012,FPO,00-10,5.3,8.3,1.7,2.1,733,573,"16,141","1,446",6.5,2.0,1.5,"€142,022","€1,000","€143,022","€39,894","€15,716","€11,000",,"€2,600",,€510,"€5,961","€75,681","€4,100",,"€1,900",,"€1,500","€7,500","€83,181","€59,841",,,"€59,841"
730,414,2012,DFN,00-10,1.3,5.8,0.2,1.8,394,173,"7,618",908,6.7,1.0,1.0,,€0,€0,€0,"€2,400",€500,€80,€0,€0,,€700,"€3,680",€0,€0,€400,€0,€300,€700,"€4,380","-€4,380",,,"-€4,380"
731,453,2012,DRB,00-10,0.6,4.8,-0.6,1.6,368,108,"9,588","1,004",7.0,1.0,1.0,,€195,€195,,€600,€500,€150,€0,€150,,"€1,575","€2,975",€0,€0,€0,€0,€330,€330,"€3,305","-€3,110",,,"-€3,110"
732,579,2012,FPO,00-10,5.4,8.9,1.7,2.2,733,573,"16,141","1,446",6.5,2.0,1.5,"€32,501","€1,000","€33,501","€10,552","€2,399",€150,,,,€200,"€2,560","€15,860","€1,900",,€650,,"€1,900","€4,450","€20,310","€13,192",,,"€13,192"
734,86,2012,FPO,10-12,20.4,11.7,3.0,2.5,107,83,"8,813","1,090",11.1,2.0,0.3,"€48,348",,"€48,348",,"€12,574","€12,517",,,,,"€7,487","€32,578",,€420,,€600,"€2,592","€3,612","€36,190","€12,158",,,"€12,158"
735,311,2012,FPO,00-10,5.4,8.3,1.7,2.1,733,573,"16,141","1,446",6.5,2.0,1.5,"€27,402","€1,000","€28,402","€15,013","€1,030",€150,,,,€200,"€1,200","€17,593",,,€200,,€600,€800,"€18,393","€10,009",,,"€10,009"
736,113,2012,FPO,10-12,3.7,9.8,1.3,2.3,107,83,"8,813","1,090",11.1,2.0,1.5,"€80,780",€13,"€80,793","€9,392","€9,537","€16,979",,,,€300,"€4,409","€40,617","€2,305","€1,135",€957,,"€1,973","€6,370","€46,987","€33,806","€6,827",,"€26,979"
737,592,2012,FPO,00-10,2.9,8.6,1.1,2.2,733,573,"16,141","1,446",6.5,1.0,1.0,"€15,305","€1,525","€16,830","€1,500","€4,500",€500,,€700,,€150,"€3,173","€10,523",,,"€1,100",,€240,"€1,340","€11,863","€4,967",,,"€4,967"
738,257,2012,DTS,18-24,120.5,23.3,4.8,3.1,64,63,"24,668","8,565",21.4,,,"€440,085","€1,920","€442,005","€137,635","€102,906","€100,143",,"€12,677","€6,282","€7,327","€11,390","€378,360","€10,564","€18,168","€3,781",€145,"€7,935","€40,593","€418,953","€23,052","€13,654",,"€9,398"
739,258,2012,DFN,00-10,2.2,8.8,0.8,2.2,394,173,"7,618",908,6.7,1.0,1.0,,"€1,200","€1,200",,"€2,400","€2,000",€200,€500,€0,,€400,"€5,500",€700,€0,€0,€0,€100,€800,"€6,300","-€5,100",,,"-€5,100"
740,595,2012,FPO,00-10,1.1,5.9,0.1,1.8,733,573,"16,141","1,446",6.5,1.0,1.0,"€13,395","€1,000","€14,395",€0,"€1,284",€280,,,,,"€1,165","€2,729",,,,,€150,€150,"€2,879","€11,516",,,"€11,516"
741,346,2012,FPO,00-10,4.0,10.4,1.4,2.3,733,573,"16,141","1,446",6.5,1.0,1.0,,"€1,000","€1,000",,€860,€880,€160,€75,€0,,€575,"€2,550",€0,€0,€0,€0,€0,€0,"€2,550","-€1,550",,,"-€1,550"
742,633,2012,FPO,00-10,0.7,4.7,-0.4,1.5,733,573,"16,141","1,446",6.5,2.0,1.5,,€0,€0,,€0,€0,€0,€0,€0,,€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,,,€0
743,383,2012,DRB,10-12,5.6,11.3,1.7,2.4,65,20,"4,984",611,10.9,3.0,2.0,"€180,674","€1,000","€181,674","€139,351","€11,063","€6,400",,"€2,000",,,"€10,912","€169,726","€1,234","€7,640","€2,135",,€800,"€11,809","€181,535",€139,,,€139
744,128,2012,FPO,10-12,4.2,9.0,1.4,2.2,107,83,"8,813","1,090",11.1,2.0,1.5,"€1,338,393","€1,000","€1,339,393","€527,560","€7,512","€1,000",,€400,,,"€9,482","€545,953","€1,200",,€600,,€300,"€2,100","€548,053","€791,340",,,"€791,340"
745,643,2012,FPO,00-10,0.6,5.7,-0.6,1.7,733,573,"16,141","1,446",6.5,0.0,0.0,,€0,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
746,154,2012,FPO,00-10,5.1,8.8,1.6,2.2,733,573,"16,141","1,446",6.5,2.0,1.5,"€34,460","€1,000","€35,460","€22,743","€1,900",€150,,,,,€380,"€25,173","€3,000","€6,528",€500,,€0,"€10,028","€35,201",€258,,,€258
747,122,2012,FPO,00-10,3.8,7.9,1.3,2.1,733,573,"16,141","1,446",6.5,2.0,,,,€0,"€68,282","€16,800","€2,000",€800,€400,,,"€3,200","€91,482","€2,700","€12,600","€1,100",,"€1,000","€17,400","€108,882","-€108,882",,,"-€108,882"
748,628,2012,FPO,00-10,4.0,10.4,1.4,2.3,733,573,"16,141","1,446",6.5,2.0,1.5,"€253,352","€2,700","€256,052","€103,066","€16,920","€3,500",,"€2,500",,,"€7,600","€133,586",,"€16,200",€850,,"€2,350","€19,400","€152,986","€103,066",,,"€103,066"
749,431,2012,FPO,00-10,2.1,7.4,0.7,2.0,733,573,"16,141","1,446",6.5,2.0,1.5,"€63,077","€1,000","€64,077","€6,408","€5,137","€3,099",,€500,,,"€2,227","€17,371",,,€500,,"€2,560","€3,060","€20,431","€43,647",,,"€43,647"
750,598,2012,FPO,00-10,0.7,5.4,-0.4,1.7,733,573,"16,141","1,446",6.5,1.0,1.0,,€0,€0,€0,"€1,050",€100,€200,€0,€0,,€75,"€1,425",€0,€0,€0,€0,€85,€85,"€1,510","-€1,510",,,"-€1,510"
751,262,2012,DFN,00-10,1.5,6.7,0.4,1.9,394,173,"7,618",908,6.7,1.0,1.0,,€0,€0,,€480,€200,€0,€0,€0,,€400,"€1,080",€0,€0,€0,€0,€0,€0,"€1,080","-€1,080",,,"-€1,080"
752,99,2012,FPO,10-12,12.6,12.4,2.5,2.5,107,83,"8,813","1,090",11.1,2.0,1.5,,€220,€220,€0,"€2,500",€650,€260,"€1,250",€0,,"€3,750","€8,410",€0,€0,€0,€0,€520,€520,"€8,930","-€8,710",,,"-€8,710"
753,263,2012,DFN,10-12,8.9,11.9,2.2,2.5,36,16,"2,358",385,11.0,1.0,1.0,,€0,€0,,"€4,000","€1,000",€150,€0,€0,,"€2,400","€7,550",€0,"€3,300",€200,€0,€200,"€3,700","€11,250","-€11,250",,,"-€11,250"
754,626,2012,FPO,00-10,1.5,6.6,0.4,1.9,733,573,"16,141","1,446",6.5,1.0,1.0,,€0,€0,€0,€0,€0,€0,€0,€0,,€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,,,€0
755,195,2012,DTS,24-40,160.7,25.2,5.1,3.2,37,37,"18,887","8,309",26.3,8.0,8.0,"€1,273,626",€27,"€1,273,653","€230,922","€305,609","€141,601",,"€30,346","€2,454","€8,337","€57,105","€776,374","€22,409","€47,801","€8,082",,"€7,290","€85,582","€861,956","€411,697","€102,637","€74,648","€383,708"
756,555,2012,FPO,00-10,0.7,5.7,-0.4,1.7,733,573,"16,141","1,446",6.5,1.0,1.0,,,€0,,"€2,400",€0,€0,€0,€0,,"€2,000","€4,400",€0,€0,€0,€0,€0,€0,"€4,400","-€4,400",,,"-€4,400"
757,452,2012,DFN,00-10,3.1,6.7,1.1,1.9,394,173,"7,618",908,6.7,1.0,1.0,,€0,€0,€0,"€2,400",€750,€300,€0,€0,,"€1,345","€4,795",€0,€0,€0,€0,€525,€525,"€5,320","-€5,320",,,"-€5,320"
758,264,2012,DRB,10-12,7.1,11.4,2.0,2.4,65,20,"4,984",611,10.9,1.0,1.0,,€0,€0,,"€6,400","€1,000",€240,€0,€0,,€355,"€7,995",€0,€0,€0,€0,€100,€100,"€8,095","-€8,095",,,"-€8,095"
759,49,2012,DTS,18-24,137.7,24.8,4.9,3.2,64,63,"24,668","8,565",21.4,8.0,8.0,"€916,666",,"€916,666","€206,461","€242,422","€91,250","€4,000","€19,474",,"€8,920","€135,693","€708,220","€24,790","€24,444","€3,273",,"€46,125","€98,631","€806,851","€109,815","€52,285","€52,648","€110,178"
760,700,2012,DRB,24-40,140.1,32.2,4.9,3.5,27,3,"11,271","3,878",31.4,4.0,1.8,"€49,974",,"€49,974",,"€3,335","€2,372",,,,,"€27,055","€32,762",,"€21,266","€1,500","€3,075",€0,"€25,841","€58,603","-€8,629","€53,296",,"-€61,925"
761,142,2012,DTS,24-40,368.2,27.0,5.9,3.3,37,37,"18,887","8,309",26.3,12.0,8.5,"€1,164,507","€12,385","€1,176,892","€150,347","€455,683","€189,422","€15,300","€21,354",,"€17,817","€80,662","€930,585","€46,450","€4,286","€6,750",,"€77,165","€134,651","€1,065,236","€111,656","€177,085",,"-€65,429"
762,618,2012,FPO,00-10,1.1,5.7,0.1,1.7,733,573,"16,141","1,446",6.5,1.0,1.0,,"€1,000","€1,000",,"€3,000",€0,€0,€0,€0,,"€1,000","€4,000",€0,€0,€0,€0,€0,€0,"€4,000","-€3,000",,,"-€3,000"
763,623,2012,FPO,00-10,0.8,5.5,-0.2,1.7,733,573,"16,141","1,446",6.5,1.0,1.0,,"€1,000","€1,000",,"€2,000",€0,€0,€0,€0,,€800,"€2,800",€0,€0,€0,€0,€0,€0,"€2,800","-€1,800",,,"-€1,800"
764,425,2012,FPO,00-10,0.7,5.4,-0.4,1.7,733,573,"16,141","1,446",6.5,2.0,1.5,"€68,436","€2,273","€70,709","€37,809","€3,000","€2,000",,,,€150,"€6,920","€49,879",€761,,€868,,€240,"€1,869","€51,748","€18,961",,,"€18,961"
765,39,2012,DTS,18-24,131.9,23.1,4.9,3.1,64,63,"24,668","8,565",21.4,7.0,7.0,"€738,188",,"€738,188","€259,213","€166,534","€104,932",,"€22,966",,,"€11,678","€565,323","€18,180","€16,839","€3,850",€250,"€7,954","€47,073","€612,396","€125,792","€43,563","€26,290","€108,519"
766,14,2012,DTS,18-24,74.4,17.7,4.3,2.9,64,63,"24,668","8,565",21.4,4.0,4.0,"€564,380",,"€564,380","€46,950","€169,476","€27,241",,"€9,957","€12,000",,"€130,755","€396,379","€12,092","€21,637","€2,800","€3,000",€0,"€39,529","€435,908","€128,472","€14,642",,"€113,830"
767,477,2012,DFN,00-10,1.3,5.2,0.2,1.7,394,173,"7,618",908,6.7,1.0,1.0,,€0,€0,,€300,€120,€20,€0,€50,,€420,€910,€200,€0,€350,€0,€100,€650,"€1,560","-€1,560",,,"-€1,560"
768,516,2012,FPO,00-10,2.1,7.1,0.7,2.0,733,573,"16,141","1,446",6.5,1.0,1.0,,"€1,000","€1,000","€30,000","€1,200",€500,€200,€500,€0,,"€6,300","€38,700",€450,"€2,000",€700,€0,€250,"€3,400","€42,100","-€41,100",,,"-€41,100"
769,127,2012,FPO,00-10,3.3,7.1,1.2,2.0,733,573,"16,141","1,446",6.5,1.0,1.0,,€922,€922,,"€4,282","€13,969",€0,€0,€0,,"€3,650","€21,901",€0,€0,€258,€0,"€2,000","€2,258","€24,159","-€23,237",,,"-€23,237"
770,335,2012,FPO,12-18,12.9,12.6,2.6,2.5,19,18,"2,070",319,13.0,4.0,4.0,"€89,542",,"€89,542","€13,560","€11,931","€8,858","€14,696",,,,€0,"€49,045",,"€2,897","€1,605",€20,€0,"€4,522","€53,567","€35,975","€8,651",,"€27,324"
771,266,2012,FPO,12-18,14.0,12.7,2.6,2.5,19,18,"2,070",319,13.0,2.0,1.5,"€61,321","€5,260","€66,581","€18,915","€5,196","€1,000",,€600,,,"€2,000","€27,711","€2,800",,"€2,000",,€900,"€5,700","€33,411","€33,170",,,"€33,170"
772,416,2012,DRB,10-12,14.5,10.9,2.7,2.4,65,20,"4,984",611,10.9,3.0,2.0,"€66,000","€1,000","€67,000","€34,530","€1,750","€1,000",,,,,€900,"€38,180","€5,000",,€800,,€0,"€5,800","€43,980","€23,020",,,"€23,020"
773,267,2012,DFN,00-10,1.0,6.2,0.0,1.8,394,173,"7,618",908,6.7,1.0,1.0,,€0,€0,,€200,€800,€20,€0,€0,,€150,"€1,170",€0,€0,€0,€0,€0,€0,"€1,170","-€1,170",,,"-€1,170"
774,92,2012,FPO,00-10,1.9,7.1,0.7,2.0,733,573,"16,141","1,446",6.5,2.0,1.5,"€33,756","€1,000","€34,756","€16,076","€1,200","€12,000",,€900,,,"€2,022","€32,198",,,€486,,€286,€772,"€32,970","€1,786",,,"€1,786"
775,84,2012,DRB,10-12,6.8,11.8,1.9,2.5,65,20,"4,984",611,10.9,2.0,1.5,"€47,229","€1,000","€48,229","€7,697","€9,309","€1,540",,"€1,000",,,"€2,292","€21,838",,,€800,,"€2,500","€3,300","€25,138","€23,091",,,"€23,091"
776,400,2012,FPO,00-10,7.2,10.6,2.0,2.4,733,573,"16,141","1,446",6.5,2.0,1.5,"€127,943","€23,000","€150,943","€27,611","€20,000","€22,000",,,€400,€350,"€11,665","€82,026","€6,100","€13,000","€4,000",,"€4,400","€27,500","€109,526","€41,417",,,"€41,417"
777,87,2012,FPO,10-12,11.0,10.7,2.4,2.4,107,83,"8,813","1,090",11.1,4.0,2.5,"€220,432","€1,000","€221,432","€398,208","€6,948","€1,000",,,,,"€9,380","€415,536","€2,400","€6,000","€2,600",,€0,"€11,000","€426,536","-€205,104",,,"-€205,104"
778,194,2012,DTS,10-12,7.7,11.5,2.0,2.4,25,25,"2,188",334,11.2,1.0,1.0,"€7,974",,"€7,974","€1,034","€2,438",€846,,€129,€35,€187,€0,"€4,668","€7,200",,€900,,€0,"€8,100","€12,768","-€4,794",,,"-€4,794"
779,480,2012,FPO,00-10,6.1,8.8,1.8,2.2,733,573,"16,141","1,446",6.5,2.0,1.5,,€0,€0,,"€3,200","€1,600",€370,€0,€0,,"€2,120","€7,290",€0,€0,€600,€0,€350,€950,"€8,240","-€8,240",,,"-€8,240"
780,43,2012,DTS,18-24,156.0,24.4,5.0,3.2,64,63,"24,668","8,565",21.4,7.0,7.0,"€836,703",,"€836,703","€195,289","€246,003","€111,135",,,,"€5,465","€42,002","€599,894","€22,506","€32,614","€2,200",,"€10,516","€67,836","€667,730","€168,973","€166,211",,"€2,762"
