Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
46,201,2008,DTS,24-40,496.9,33.3,6.2,3.5,35,31,"19,210","8,419",27.0,14.0,12.0,"€1,255,817",,"€1,255,817","€245,703","€603,188","€236,643",,"€21,550",,"€16,823","-€6,905","€1,117,002","€61,800","€340,194","€4,000","€11,422","€68,097","€485,513","€1,602,515","-€346,698","€3,113","€126,117","-€223,694"
48,651,2008,TM,24-40,0.0,0.0,,,14,14,"9,270","4,260",29.1,9.0,7.0,"€1,428,450",,"€1,428,450","€328,851","€241,223","€170,153",,"€24,375",,,"€295,054","€1,059,656","€47,297","€8,698","€6,150",€350,"€84,562","€147,057","€1,206,713","€221,737","€34,360","€97,571","€284,948"
49,652,2008,TM,24-40,0.0,0.0,,,14,14,"9,270","4,260",29.1,8.0,7.0,"€1,112,920","€92,686","€1,205,606","€226,580","€189,614","€61,897",,"€13,139",,"€15,239","€29,318","€535,787","€35,190","€104,126","€17,000","€50,500","€321,953","€528,769","€1,064,556","€141,050","€332,268",€69,"-€191,149"
50,653,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,6.0,6.0,"€827,203","€42,000","€869,203","€144,851","€268,532","€68,569",,"€21,256",€225,"€1,903","€107,725","€613,061","€32,589","€4,399","€2,350",,"€275,038","€314,376","€927,437","-€58,234","€3,647",,"-€61,881"
51,654,2008,DTS,24-40,0.0,0.0,,,35,31,"19,210","8,419",27.0,6.0,6.0,"€929,889","€30,547","€960,436","€305,016","€243,565","€47,599",,"€25,541","€2,106","€9,173","€32,028","€665,028","€31,491",,"€6,754",,"€170,937","€209,182","€874,210","€86,226","€7,188",-€20,"€79,018"
52,655,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,2.0,2.0,"€84,123",,"€84,123","€30,069","€19,938","€19,961",,€415,€216,€770,"€8,123","€79,492","€7,375",,"€1,071",,€967,"€9,413","€88,905","-€4,782","€1,112",,"-€5,894"
53,656,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,4.0,4.0,"€196,216",,"€196,216","€31,313","€46,791","€39,264",,"€5,798",,,"€10,485","€133,651","€11,170","€29,017","€1,203","€3,850","€8,032","€53,272","€186,923","€9,293","€23,625",,"-€14,332"
54,657,2008,DTS,24-40,0.0,0.0,,,35,31,"19,210","8,419",27.0,9.0,7.0,"€826,796",,"€826,796","€237,425","€161,110","€196,169",,"€17,383",,"€51,582","€92,483","€756,152","€15,000","€9,148","€4,211","€2,380","€14,984","€45,723","€801,875","€24,921","€47,008","-€8,166","-€30,253"
55,658,2008,DFN,12-18,0.0,0.0,,,9,5,"1,261",260,13.8,5.0,5.0,"€110,291",,"€110,291","€42,038","€12,967","€20,398",,"€2,477",,€218,"€63,117","€141,215","€1,260",,"€3,035","€1,453","€7,058","€12,806","€154,021","-€43,730","€3,802","-€2,208","-€49,740"
56,659,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,4.0,3.5,"€480,080",,"€480,080","€77,891","€120,122","€46,940",,"€7,168","€2,157",,"€31,129","€285,407","€11,750","€39,861","€1,500",€750,"€6,700","€60,561","€345,968","€134,112","€58,146",-€3,"€75,963"
